,Image,Review Text
3452,['https://images-na.ssl-images-amazon.com/images/I/81q5+IxFVUL._SY88.jpg'],Loving these vintage springs on my vintage strat. They have a good tension and great stability. If you are floating your bridge and want the most out of your springs than these are the way to go.
1205,"['https://images-na.ssl-images-amazon.com/images/I/71HSx4Y-5dL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71dVsYejzTL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71domStNfIL._SY88.jpg']","Works great as a guitar bench mat. Not rugged enough for abuse but if you take care of it, it will take care of you. Makes organization of workspace much easier because screws won't roll around. Color is good too."
1708,['https://images-na.ssl-images-amazon.com/images/I/71Md5ihUFLL._SY88.jpg'],"We use these for everything from our acoustic bass down to our ukuleles. I know there is a smaller model available for ukes, violins, etc.; we haven't yet ordered those, but these will work on smaller instruments if one doesn't extend the feet to their maximum width. They're gentle on the instruments, and the grippy material keeps them secure.

The greatest benefit has been when writing music at the computer and needing to set a guitar down to use the keyboard/mouse - just easier for me than a hanging stand.

We have several and gave one to a friend for Christmas as well. I've used mine on stage, and it folds up small enough to fit right in my gig bag."
2078,['https://images-na.ssl-images-amazon.com/images/I/71Isri9SEaL._SY88.jpg'],Great price and good quality.  It didn't quite match the radius of my sound hole but it was close enough.
801,['https://images-na.ssl-images-amazon.com/images/I/71w8aOdrTuL._SY88.jpg'],"I bought this bass to split time as my primary bass with my Dean Edge. This might be winning me over. The bass boost is outstanding. The active pickups really allow you to adjust to the sound you want. I recommend this for anyone. If you're a beginner  like I was not too long ago, it's an excellent bass to start with. If you're on tour and/or music is making you money, this bass will be beatiful on stage. The color is a bit darker than in the picture. But, all around, this is a great buy."
126,"['https://images-na.ssl-images-amazon.com/images/I/81dxkALs4CL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81VixyruzDL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51IWGFH3IPL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81p1k-2194L._SY88.jpg']","it's more on toy side than on instrument side, and made in Indonesia.

pro
in tune
fun to play with
small and easy to carry around
solid built
cheap

con
can't handle fortissimo, no loud notes"
1329,['https://images-na.ssl-images-amazon.com/images/I/71cS64LddWL._SY88.jpg'],Absolute BEST guitar hangers on the market... You will not beat this price! Buy them while you still can for this cheap
325,"['https://images-na.ssl-images-amazon.com/images/I/71z9biVe+ML._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81KgqwvRlsL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/810yv26nkYL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81hhee6cBhL._SY88.jpg']","Great nylon strings, just as expected. They worked just fine on my daughter's mini classical guitar. They are as good quality wise as much more expensive strings I've purchased in the past. They are much softer to the touch and easier for her to learn on than my steel strings on my acoustic guitar. They came labeled with both the note name and the string number, which made putting them on easy and quick."
245,"['https://images-na.ssl-images-amazon.com/images/I/51p2V+jw7AL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51zFfb4C-XL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ig0ScFF5L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31gGURU8Y6L._SY88.jpg']",I bought this stand for church because I been blessed with a soprano and a alto sax and its realy good and reliable and fit in the front poutch of my sax case with no problems (my alto case has a exstra poutch in the front) but one little thing is that the peg can fit a soprano but its just a little lose but it still is safe for soprano sax.
1714,"['https://images-na.ssl-images-amazon.com/images/I/71raKRNMOPL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/712kRL7iLkL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71+3oZp8H6L._SY88.jpg']","Awesome stand!

Tip: The bottom part that supports the guitar had a weird angle when arrived, making the guitar slide back, becoming almost 100% on a vertical.
To solve this, I assembled the product and the put a some pressure on the support frame, making it bend a little. Now my guitar sits perfectly. Check photos!"
1743,"['https://images-na.ssl-images-amazon.com/images/I/61kCyfAeq-L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71srB75y1LL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81JevfsmHkL._SY88.jpg']","I gave a cheaper neck a shot. I am blown away by the look of this neck. The stain used is just enough to highlight the grain nicely and the clear coat is darn near perfect. I figured a lot of time would be during the ""adjustment"" phase of the build. Nothing else had to be done once the neck was set and bolted on. What a pleasant surprise since in past builds I'd spent an hour or more getting them set. I've used Fender and Warmoth before that cost 3 times and more than this one. The proof had been in the pudding though. This neck has been on this guitar for over a year now. No problems. I use this guitar as a back up and play it quite frequently on gigs. I buy more!"
3710,['https://images-na.ssl-images-amazon.com/images/I/614m5CUST7L._SY88.jpg'],"<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Dunlop-CBM95-Cry-Baby-Mini-Wah/dp/B00SKJGWCI/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Dunlop CBM95 Cry Baby Mini Wah</a>

It is better to put it on the pedal board than gcb95. True bypass and three modes are supported, which is much better than gcb95. It would have been nice if it supported the led. team kill .."
1664,['https://images-na.ssl-images-amazon.com/images/I/71rPvq9ZAPL._SY88.jpg'],"Absolutely amazing! I think they are direct knock-off of Seymour Duncan SH-2 Jazz Model Humbucker Pickups. (you can see the same little holes on each of pups) Powerful, bright sound, no noise. My old Johnson LP with ex ""EMG-ish""  pickups are now fully awake and angry in a good way. Great quality! Thanks everyone for good review."
394,['https://images-na.ssl-images-amazon.com/images/I/71ic7hkewiL._SY88.jpg'],"Its a pick holder. It does what its supposed to. I mainly use Fender medium picks, and have a few Fender heavy picks around. I don't have any thin picks. Itll hold 6 heavy picks or 9 medium picks. I would imagine it would hold 11 or 12 thin picks."
1819,"['https://images-na.ssl-images-amazon.com/images/I/61KdaAUshwL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71zriquspkL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61lAMAeamzL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61QOfHtEI5L._SY88.jpg']",kinda flimsy but oit does the job
672,"['https://images-na.ssl-images-amazon.com/images/I/51fyLunjnYL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51zHQdv4n1L._SY88.jpg']",This is a fine EQ.  It sounds good and I'm  thinking of getting another one  for right and left  speaker.
2740,"['https://images-na.ssl-images-amazon.com/images/I/511PA48WoEL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61se7Pgt7QL._SY88.jpg']","Over the period of a month, one of the two cables failed. When I unplugged it, the actual quarter inch end broke off as I was pulling the cable out as I normally do at the end of practicing or a show, and got stuck in my amp so thanks to this, I have to spend money and time that I don't have to get my amp fixed with the broken cable and buy a better, stronger, more durable cable that won't break when I pull it out of the amp."
2836,['https://images-na.ssl-images-amazon.com/images/I/61EkhxlNl6L._SY88.jpg'],"This Gator guitar hanger is sturdy, attractive, and easy to install.  It comes with wall anchors for drywall, and long screws.  The hangers are rubber coated to prevent finish damage.  The instructions are simple and I had this installed in under 5 minutes.  There are no screws visible once the unit is on the wall.  I was initially worried that the guitar would hang too close to the wall, however it is a good 3.5"" away.  It did take some ""oomph"" to get the actual hanger prongs parallel to the floor, but it certainly feels solidly locked in.  I was fortunate enough to have a location where a stud was available (and I would highly recommend using a stud for the install), however 2 heavy duty screw-in wall anchors also come with the unit for drywall mounting.  I much prefer this clean look to having the guitar on a floor stand in the corner where it tends to gather dust and dog hair. Ugh."
